"ident","icao","name","latitude","longitude","iapExists"
"ADK","PADK","Adak","51.88358278","-176.6424822","1"
"AKK","PAKH","Akhiok","56.93869083","-154.1825556","1"
"Z13","PFZK","Akiachak","60.91380972","-161.4933292","0"
"AKI","PFAK","Akiak","60.90289722","-161.2305833","1"
"7AK","PAUT","Akutan","54.14461111","-165.6041083","1"
"AUK","PAUK","Alakanuk","62.68305556","-164.7221944","0"
"Z25","","Tripod","59.26314583","-158.5577553","0"
"5A8","","Aleknagik /New","59.28255556","-158.6178667","0"
"6A8","PFAL","Allakaket","66.55183333","-152.6221667","1"
"AFM","PAFM","Ambler","67.10620056","-157.8571558","1"
"80A","","American Creek","65.10398194","-151.1772333","0"
"AKP","PAKP","Anaktuvuk Pass","68.13361111","-151.7433333","1"
"A13","","Bold","61.34133889","-148.9988806","0"
"ANC","PANC","Ted Stevens Anchorage Intl","61.17408472","-149.9981375","1"
"MRI","PAMR","Merrill Fld","61.21354639","-149.8447094","1"
"ANI","PANI","Aniak","61.58140528","-159.5452981","1"
"ANV","PANV","Anvik","62.64733333","-160.1900556","1"
"ARC","PARC","Arctic Village","68.11466944","-145.5794153","1"
"AKA","PAAK","Atka","52.22058333","-174.2061944","1"
"4A2","","Atmautluak","60.86788889","-162.2742778","0"
"ATK","PATQ","Atqasuk Edward Burnell Sr Meml","70.46711111","-157.4356667","1"
"BRW","PABR","Wiley Post-Will Rogers Meml","71.28486111","-156.7685833","1"
"BTI","PABA","Barter Island","70.11311111","-143.6536111","1"
"Z47","","Engstrom Fld","64.67909028","-165.2992014","0"
"Z48","","Bear Creek 3","63.57160917","-156.1440506","0"
"Z52","","Johnsons Landing","56.03668556","-160.2662053","0"
"WBQ","PAWB","Beaver","66.36222222","-147.4065","1"
"BET","PABE","Bethel","60.77855556","-161.8371667","1"
"BTT","PABT","Bettles","66.91394444","-151.5290556","1"
"BGQ","PAGQ","Big Lake","61.53468306","-149.8125483","1"
"Z91","","Birch Creek","66.27447222","-145.8181944","0"
"BCV","PABV","Birchwood","61.4160875","-149.5083098","0"
"5BK","","Black Rapids","63.53514639","-145.8608861","0"
"BYA","","Boundary","64.07830278","-141.113375","0"
"KTS","PFKT","Brevig Mission","65.33133333","-166.4657222","1"
"BVK","PABL","Buckland","65.98155556","-161.1491389","1"
"TTW","PATW","Cantwell","63.39120472","-148.9556164","0"
"CEM","PACE","Central","65.57394444","-144.7808889","1"
"CIK","PACI","Chalkyitsik","66.64502778","-143.7398889","1"
"5CD","","Chandalar Shelf","68.06543944","-149.5797392","0"
"WCR","PALR","Chandalar Lake","67.50451667","-148.4832222","0"
"CFK","PACK","Chefornak","60.13680556","-164.2790556","0"
"C05","PFCB","Chenega Bay","60.07856111","-147.9947347","0"
"VAK","PAVA","Chevak","61.54083333","-165.6008889","1"
"CKX","","Chicken","64.06675139","-141.9513472","0"
"KCL","","Chignik Lagoon","56.31096667","-158.5344861","0"
"AJC","PAJC","Chignik","56.31146264","-158.3732382","0"
"A79","","Chignik Lake","56.25545694","-158.7778319","0"
"CZN","","Chisana","62.07175","-142.04935","0"
"CZO","","Chistochina","62.56233333","-144.6724444","0"
"CXC","","Chitina","61.58320278","-144.4298028","0"
"9A3","PACH","Chuathbaluk","61.57905556","-159.2156389","1"
"CRC","PACR","Circle City","65.82791667","-144.0761972","0"
